position,hand_rank_tuple,wins,total_matchups,win_rate
front,"(7, 10, 4)",1,1,0.978
front,"(7, 10, 5)",1,1,0.978
front,"(7, 10, 6)",1,1,0.978
front,"(7, 10, 7)",1,1,0.978
front,"(7, 10, 8)",1,1,0.978
front,"(7, 10, 9)",1,1,0.978
front,"(7, 10, 11)",1,1,0.978
front,"(7, 10, 12)",1,1,0.978
front,"(7, 10, 13)",1,1,0.978
front,"(7, 10, 14)",1,1,0.978
front,"(7, 9, 2)",1,1,0.977
front,"(7, 9, 3)",1,1,0.977
front,"(7, 9, 4)",1,1,0.977
front,"(7, 9, 5)",1,1,0.977
front,"(7, 9, 6)",1,1,0.977
front,"(7, 9, 7)",1,1,0.977
front,"(7, 9, 8)",1,1,0.977
front,"(7, 9, 10)",1,1,0.977
front,"(7, 9, 11)",1,1,0.977
front,"(7, 9, 12)",1,1,0.977
front,"(7, 9, 13)",1,1,0.977
front,"(7, 9, 14)",1,1,0.977
front,"(7, 8, 2)",1,1,0.976
front,"(7, 8, 3)",1,1,0.976
front,"(7, 8, 4)",1,1,0.976
front,"(7, 8, 5)",1,1,0.976
front,"(7, 8, 6)",1,1,0.976
front,"(7, 8, 7)",1,1,0.976
front,"(7, 8, 9)",1,1,0.976
front,"(7, 8, 10)",1,1,0.976
front,"(7, 8, 11)",1,1,0.976
front,"(7, 8, 12)",1,1,0.976
front,"(7, 8, 13)",1,1,0.976
front,"(7, 8, 14)",1,1,0.976
front,"(7, 7, 2)",1,1,0.975
front,"(7, 7, 3)",1,1,0.975
front,"(7, 7, 4)",1,1,0.975
front,"(7, 7, 5)",1,1,0.975
front,"(7, 7, 6)",1,1,0.975
front,"(7, 7, 8)",1,1,0.975
front,"(7, 7, 9)",1,1,0.975
front,"(7, 7, 10)",1,1,0.975
front,"(7, 7, 11)",1,1,0.975
front,"(7, 7, 12)",1,1,0.975
front,"(7, 7, 13)",1,1,0.975
front,"(7, 7, 14)",1,1,0.975
front,"(7, 6, 2)",1,1,0.974
front,"(7, 6, 3)",1,1,0.974
front,"(7, 6, 4)",1,1,0.974
front,"(7, 6, 5)",1,1,0.974
front,"(7, 6, 7)",1,1,0.974
front,"(7, 6, 8)",1,1,0.974
front,"(7, 6, 9)",1,1,0.974
front,"(7, 6, 10)",1,1,0.974
front,"(7, 6, 11)",1,1,0.974
front,"(7, 6, 12)",1,1,0.974
front,"(7, 6, 13)",1,1,0.974
front,"(7, 6, 14)",1,1,0.974
front,"(7, 5, 2)",1,1,0.973
front,"(7, 5, 3)",1,1,0.973
front,"(7, 5, 4)",1,1,0.973
front,"(7, 5, 6)",1,1,0.973
front,"(7, 5, 7)",1,1,0.973
front,"(7, 5, 8)",1,1,0.973
front,"(7, 5, 9)",1,1,0.973
front,"(7, 5, 10)",1,1,0.973
front,"(7, 5, 11)",1,1,0.973
front,"(7, 5, 12)",1,1,0.973
front,"(7, 5, 13)",1,1,0.973
front,"(7, 5, 14)",1,1,0.973
front,"(7, 4, 2)",1,1,0.972
front,"(7, 4, 3)",1,1,0.972
front,"(7, 4, 5)",1,1,0.972
front,"(7, 4, 6)",1,1,0.972
front,"(7, 4, 7)",1,1,0.972
front,"(7, 4, 8)",1,1,0.972
front,"(7, 4, 9)",1,1,0.972
front,"(7, 4, 10)",1,1,0.972
front,"(7, 4, 11)",1,1,0.972
front,"(7, 4, 12)",1,1,0.972
front,"(7, 4, 13)",1,1,0.972
front,"(7, 4, 14)",1,1,0.972
front,"(7, 3, 2)",1,1,0.971
front,"(7, 3, 4)",1,1,0.971
front,"(7, 3, 5)",1,1,0.971
front,"(7, 3, 6)",1,1,0.971
front,"(7, 3, 7)",1,1,0.971
front,"(7, 3, 8)",1,1,0.971
front,"(7, 3, 9)",1,1,0.971
front,"(7, 3, 10)",1,1,0.971
front,"(7, 3, 11)",1,1,0.971
front,"(7, 3, 12)",1,1,0.971
front,"(7, 3, 13)",1,1,0.971
front,"(7, 3, 14)",1,1,0.971
front,"(7, 2, 3)",1,1,0.970
front,"(7, 2, 4)",1,1,0.970
front,"(7, 2, 5)",1,1,0.970
front,"(7, 2, 6)",1,1,0.970
front,"(7, 2, 7)",1,1,0.970
front,"(7, 2, 8)",1,1,0.970
front,"(7, 2, 9)",1,1,0.970
front,"(7, 2, 10)",1,1,0.970
front,"(7, 2, 11)",1,1,0.970
front,"(7, 2, 12)",1,1,0.970
