position,hand_rank_tuple,wins,total_matchups,win_rate
back,"(6, 9, 6, 6, 5, 3)",0,5,0.0
back,"(6, 9, 7, 3, 3, 2)",1,10,0.1
back,"(6, 9, 7, 4, 2, 2)",0,10,0.0
back,"(6, 9, 7, 4, 3, 3)",0,5,0.0
back,"(6, 9, 7, 4, 4, 2)",0,20,0.0
back,"(6, 9, 7, 4, 4, 3)",0,5,0.0
back,"(6, 9, 7, 5, 2, 2)",0,5,0.0
back,"(6, 9, 7, 5, 3, 2)",0,20,0.0
back,"(6, 9, 7, 5, 3, 3)",0,10,0.0
back,"(6, 9, 7, 5, 4, 2)",0,15,0.0
back,"(6, 9, 7, 5, 4, 3)",0,20,0.0
back,"(6, 9, 7, 5, 4, 4)",0,10,0.0
back,"(6, 9, 7, 5, 5, 2)",0,5,0.0
back,"(6, 9, 7, 5, 5, 4)",0,5,0.0
back,"(6, 9, 7, 6, 2, 2)",0,5,0.0
back,"(6, 9, 7, 6, 3, 2)",0,15,0.0
back,"(6, 9, 7, 6, 3, 3)",0,5,0.0
back,"(6, 9, 7, 6, 4, 2)",0,5,0.0
back,"(6, 9, 7, 6, 4, 3)",0,25,0.0
back,"(6, 9, 7, 6, 5, 2)",1,30,0.03333333333333333
back,"(6, 9, 7, 6, 5, 4)",0,20,0.0
back,"(6, 9, 7, 6, 5, 5)",0,10,0.0
back,"(6, 9, 7, 6, 6, 2)",0,5,0.0
back,"(6, 9, 7, 6, 6, 4)",0,5,0.0
back,"(6, 9, 7, 6, 6, 5)",0,5,0.0
back,"(6, 9, 7, 7, 3, 2)",0,5,0.0
back,"(6, 9, 7, 7, 4, 2)",0,5,0.0
back,"(6, 9, 7, 7, 4, 3)",0,10,0.0
back,"(6, 9, 7, 7, 5, 2)",0,5,0.0
back,"(6, 9, 7, 7, 5, 3)",1,20,0.05
back,"(6, 9, 7, 7, 6, 2)",0,10,0.0
back,"(6, 9, 7, 7, 6, 3)",1,10,0.1
back,"(6, 9, 7, 7, 6, 4)",0,10,0.0
back,"(6, 9, 7, 7, 6, 5)",0,5,0.0
back,"(6, 9, 8, 3, 2, 2)",0,10,0.0
back,"(6, 9, 8, 4, 2, 2)",0,5,0.0
back,"(6, 9, 8, 4, 3, 2)",0,5,0.0
back,"(6, 9, 8, 4, 3, 3)",0,5,0.0
back,"(6, 9, 8, 4, 4, 2)",0,5,0.0
back,"(6, 9, 8, 4, 4, 3)",0,5,0.0
back,"(6, 9, 8, 5, 3, 3)",0,5,0.0
back,"(6, 9, 8, 5, 4, 2)",3,40,0.075
back,"(6, 9, 8, 5, 4, 3)",0,15,0.0
back,"(6, 9, 8, 5, 5, 3)",0,5,0.0
back,"(6, 9, 8, 5, 5, 4)",0,15,0.0
back,"(6, 9, 8, 6, 2, 2)",1,5,0.2
back,"(6, 9, 8, 6, 3, 2)",0,25,0.0
back,"(6, 9, 8, 6, 4, 3)",0,5,0.0
back,"(6, 9, 8, 6, 4, 4)",0,5,0.0
back,"(6, 9, 8, 6, 5, 2)",0,25,0.0
back,"(6, 9, 8, 6, 5, 3)",0,5,0.0
back,"(6, 9, 8, 6, 5, 4)",1,5,0.2
back,"(6, 9, 8, 6, 5, 5)",0,10,0.0
back,"(6, 9, 8, 7, 2, 2)",0,5,0.0
back,"(6, 9, 8, 7, 3, 2)",1,65,0.015384615384615385
back,"(6, 9, 8, 7, 3, 3)",0,5,0.0
back,"(6, 9, 8, 7, 4, 2)",0,25,0.0
back,"(6, 9, 8, 7, 4, 3)",0,5,0.0
back,"(6, 9, 8, 7, 4, 4)",0,5,0.0
back,"(6, 9, 8, 7, 5, 2)",0,40,0.0
back,"(6, 9, 8, 7, 5, 3)",1,30,0.03333333333333333
back,"(6, 9, 8, 7, 5, 4)",1,10,0.1
back,"(6, 9, 8, 7, 6, 3)",0,30,0.0
back,"(6, 9, 8, 7, 6, 4)",0,15,0.0
back,"(6, 9, 8, 7, 7, 2)",1,10,0.1
back,"(6, 9, 8, 7, 7, 3)",0,10,0.0
back,"(6, 9, 8, 7, 7, 4)",0,5,0.0
back,"(6, 9, 8, 7, 7, 5)",0,5,0.0
back,"(6, 9, 8, 7, 7, 6)",0,5,0.0
back,"(6, 9, 8, 8, 2, 2)",0,5,0.0
back,"(6, 9, 8, 8, 3, 3)",0,5,0.0
back,"(6, 9, 8, 8, 5, 3)",0,5,0.0
back,"(6, 9, 8, 8, 5, 4)",0,5,0.0
back,"(6, 9, 8, 8, 6, 2)",0,5,0.0
back,"(6, 9, 8, 8, 6, 3)",0,10,0.0
back,"(6, 9, 8, 8, 6, 5)",0,5,0.0
back,"(6, 9, 8, 8, 7, 2)",0,5,0.0
back,"(6, 9, 8, 8, 7, 4)",0,5,0.0
back,"(6, 9, 8, 8, 7, 6)",1,10,0.1
back,"(6, 9, 9, 5, 2, 2)",0,5,0.0
back,"(6, 9, 9, 5, 3, 2)",0,10,0.0
back,"(6, 9, 9, 5, 4, 2)",0,5,0.0
back,"(6, 9, 9, 5, 4, 4)",0,5,0.0
back,"(6, 9, 9, 5, 5, 2)",0,5,0.0
back,"(6, 9, 9, 5, 5, 4)",0,5,0.0
back,"(6, 9, 9, 6, 3, 2)",0,5,0.0
back,"(6, 9, 9, 6, 4, 2)",0,5,0.0
