position,tuple,winProbability
front,"[2, 14, 4]",34.79
front,"[2, 14, 3]",34.789
front,"[2, 14, 2]",34.788
front,"[2, 13, 14]",33.4
front,"[2, 13, 12]",33.398
front,"[2, 13, 11]",33.397
front,"[2, 13, 10]",33.396
front,"[2, 13, 9]",33.395
front,"[2, 13, 8]",33.394
front,"[2, 13, 7]",33.393
front,"[2, 13, 6]",33.392
front,"[2, 13, 5]",33.391
front,"[2, 13, 4]",33.39
front,"[2, 13, 3]",33.389
front,"[2, 13, 2]",33.388
front,"[2, 12, 14]",32.0
front,"[2, 12, 13]",31.999
front,"[2, 12, 11]",31.997
front,"[2, 12, 10]",31.996
front,"[2, 12, 9]",31.995
front,"[2, 12, 8]",31.994
front,"[2, 12, 7]",31.993
front,"[2, 12, 6]",31.992
front,"[2, 12, 5]",31.991
front,"[2, 12, 4]",31.99
front,"[2, 12, 3]",31.989
front,"[2, 12, 2]",31.988
front,"[2, 11, 14]",30.6
front,"[2, 11, 13]",30.599
front,"[2, 11, 12]",30.598
front,"[2, 11, 10]",30.596
front,"[2, 11, 9]",30.595
front,"[2, 11, 8]",30.594
front,"[2, 11, 7]",30.593
front,"[2, 11, 6]",30.592
front,"[2, 11, 5]",30.591
front,"[2, 11, 4]",30.59
front,"[2, 11, 3]",30.589
front,"[2, 11, 2]",30.588
front,"[2, 10, 14]",29.2
front,"[2, 10, 13]",29.199
front,"[2, 10, 12]",29.198
front,"[2, 10, 11]",29.197
front,"[2, 10, 9]",29.195
front,"[2, 10, 8]",29.194
front,"[2, 10, 7]",29.193
front,"[2, 10, 6]",29.192
front,"[2, 10, 5]",29.191
front,"[2, 10, 4]",29.19
front,"[2, 10, 3]",29.189
front,"[2, 10, 2]",29.188
front,"[2, 9, 14]",27.8
front,"[2, 9, 13]",27.799
front,"[2, 9, 12]",27.798
front,"[2, 9, 11]",27.797
front,"[2, 9, 10]",27.796
front,"[2, 9, 8]",27.794
front,"[2, 9, 7]",27.793
front,"[2, 9, 6]",27.792
front,"[2, 9, 5]",27.791
front,"[2, 9, 4]",27.79
front,"[2, 9, 3]",27.789
front,"[2, 9, 2]",27.788
front,"[2, 8, 14]",26.4
front,"[2, 8, 13]",26.399
front,"[2, 8, 12]",26.398
front,"[2, 8, 11]",26.397
front,"[2, 8, 10]",26.396
front,"[2, 8, 9]",26.395
front,"[2, 8, 7]",26.393
front,"[2, 8, 6]",26.392
front,"[2, 8, 5]",26.391
front,"[2, 8, 4]",26.39
front,"[2, 8, 3]",26.389
front,"[2, 8, 2]",26.388
front,"[2, 7, 14]",25.0
front,"[2, 7, 13]",24.999
front,"[2, 7, 12]",24.998
front,"[2, 7, 11]",24.997
front,"[2, 7, 10]",24.996
front,"[2, 7, 9]",24.995
front,"[2, 7, 8]",24.994
front,"[2, 7, 6]",24.992
