position,hand_rank_tuple,wins,total_matchups,netev
front,"(6, 8, 7)",1,1,3.051321
front,"(6, 8, 6)",1,1,3.039854
front,"(6, 8, 5)",1,1,3.028388
front,"(6, 8, 4)",1,1,3.016921
front,"(6, 8, 3)",1,1,3.005454
front,"(6, 8, 2)",1,1,2.993988
front,"(6, 7, 6)",1,1,2.989210
front,"(6, 7, 5)",1,1,2.974876
front,"(6, 7, 4)",1,1,2.960543
front,"(6, 7, 3)",1,1,2.946210
front,"(6, 7, 2)",1,1,2.931876
front,"(6, 6, 5)",1,1,2.927099
front,"(6, 6, 4)",1,1,2.907988
front,"(6, 6, 3)",1,1,2.888876
front,"(6, 6, 2)",1,1,2.869765
front,"(6, 5, 4)",1,1,2.864988
front,"(6, 5, 3)",1,1,2.836321
front,"(6, 5, 2)",1,1,2.807654
front,"(6, 4, 3)",1,1,2.802876
front,"(6, 4, 2)",1,1,2.745543
front,"(6, 3, 2)",1,1,2.740765
front,"(5, 14, 13)",1,1,2.340549
front,"(5, 14, 5)",1,1,2.339549
front,"(5, 13, 12)",1,1,2.241497
front,"(5, 12, 11)",1,1,2.142445
front,"(5, 11, 10)",1,1,2.043393
front,"(5, 10, 9)",1,1,1.944342
front,"(5, 9, 8)",1,1,1.845290
front,"(5, 8, 7)",1,1,1.746238
front,"(5, 7, 6)",1,1,1.647186
front,"(5, 6, 5)",1,1,1.548134
front,"(5, 5, 4)",1,1,1.449082
front,"(4, 14)",1,1,0.033974
front,"(4, 13)",1,1,0.027879
front,"(4, 12)",1,1,0.021785
front,"(4, 11)",1,1,0.015690
front,"(4, 10)",1,1,0.009596
front,"(4, 9)",1,1,0.003501
front,"(4, 8)",1,1,-0.002593
front,"(4, 7)",1,1,-0.008688
front,"(4, 6)",1,1,-0.014782
front,"(4, 5)",1,1,-0.020876
front,"(4, 4)",1,1,-0.026971
front,"(4, 3)",1,1,-0.033065
front,"(4, 2)",1,1,-0.039160
front,"(2, 14, 13)",1,1,-0.320064
front,"(2, 14, 12)",1,1,-0.323209
front,"(2, 14, 11)",1,1,-0.326355
front,"(2, 14, 10)",1,1,-0.329501
front,"(2, 14, 9)",1,1,-0.332647
front,"(2, 14, 8)",1,1,-0.335793
front,"(2, 14, 7)",1,1,-0.338939
front,"(2, 14, 6)",1,1,-0.342085
front,"(2, 14, 5)",1,1,-0.345231
front,"(2, 14, 4)",1,1,-0.348377
front,"(2, 14, 3)",1,1,-0.351523
front,"(2, 14, 2)",1,1,-0.354669
front,"(2, 13, 14)",1,1,-0.357552
front,"(2, 13, 12)",1,1,-0.360698
front,"(2, 13, 11)",1,1,-0.363844
front,"(2, 13, 10)",1,1,-0.366990
front,"(2, 13, 9)",1,1,-0.370136
front,"(2, 13, 8)",1,1,-0.373282
front,"(2, 13, 7)",1,1,-0.376428
front,"(2, 13, 6)",1,1,-0.379574
front,"(2, 13, 5)",1,1,-0.382720
front,"(2, 13, 4)",1,1,-0.385866
front,"(2, 13, 3)",1,1,-0.389012
front,"(2, 13, 2)",1,1,-0.392158
front,"(2, 12, 14)",1,1,-0.395041
front,"(2, 12, 13)",1,1,-0.398187
front,"(2, 12, 11)",1,1,-0.401333
front,"(2, 12, 10)",1,1,-0.404479
front,"(2, 12, 9)",1,1,-0.407625
front,"(2, 12, 8)",1,1,-0.410771
front,"(2, 12, 7)",1,1,-0.413917
front,"(2, 12, 6)",1,1,-0.417063
front,"(2, 12, 5)",1,1,-0.420209
front,"(2, 12, 4)",1,1,-0.423355
front,"(2, 12, 3)",1,1,-0.426500
front,"(2, 12, 2)",1,1,-0.429646
front,"(2, 11, 14)",1,1,-0.432530
front,"(2, 11, 13)",1,1,-0.435676
front,"(2, 11, 12)",1,1,-0.438822
front,"(2, 11, 10)",1,1,-0.441968
front,"(2, 11, 9)",1,1,-0.445114
front,"(2, 11, 8)",1,1,-0.448260
front,"(2, 11, 7)",1,1,-0.451406
front,"(2, 11, 6)",1,1,-0.454552
front,"(2, 11, 5)",1,1,-0.457698
front,"(2, 11, 4)",1,1,-0.460843
front,"(2, 11, 3)",1,1,-0.463989
front,"(2, 11, 2)",1,1,-0.467135
front,"(2, 10, 14)",1,1,-0.470019
front,"(2, 10, 13)",1,1,-0.473165
front,"(2, 10, 12)",1,1,-0.476311
front,"(2, 10, 11)",1,1,-0.479457
front,"(2, 10, 9)",1,1,-0.482603
front,"(2, 10, 8)",1,1,-0.485749
front,"(2, 10, 7)",1,1,-0.488895
front,"(2, 10, 6)",1,1,-0.492041
front,"(2, 10, 5)",1,1,-0.495186
front,"(2, 10, 4)",1,1,-0.498332
front,"(2, 10, 3)",1,1,-0.501478
front,"(2, 10, 2)",1,1,-0.504624
