hand_rank_tuple,position,hand_type,primary_rank,win_rate,win_points,positive_ev,higher_types_loss_ev,same_type_loss_ev,total_negative_ev,final_ev,extrapolated
"(12, 3)",back,6 of a Kind,3,0.975,10,9.75,-0.08876666666666666,-0.04066666666666666,-0.12943333333333332,9.620566666666667,
"(11, 12)",back,6-card Straight Flush,12,0.9897435897435898,8,7.917948717948718,-0.13476666666666667,-0.0592,-0.19396666666666668,7.723982051282052,
"(11, 13)",back,6-card Straight Flush,13,0.9863636363636363,8,7.890909090909091,-0.13476666666666667,-0.03573333333333333,-0.1705,7.720409090909091,
"(11, 11)",back,6-card Straight Flush,11,0.9862068965517241,8,7.889655172413793,-0.13476666666666667,-0.0904,-0.22516666666666668,7.664488505747126,
"(11, 14)",back,6-card Straight Flush,14,0.982089552238806,8,7.856716417910448,-0.13476666666666667,-0.0,-0.13476666666666667,7.721949751243781,
"(11, 10)",back,6-card Straight Flush,10,0.980722891566265,8,7.84578313253012,-0.13476666666666667,-0.1136,-0.24836666666666668,7.5974164658634535,
"(11, 6)",back,6-card Straight Flush,6,0.9779816513761468,8,7.823853211009174,-0.13476666666666667,-0.21306666666666665,-0.3478333333333333,7.476019877675841,
"(11, 8)",back,6-card Straight Flush,8,0.9727272727272728,8,7.781818181818182,-0.13476666666666667,-0.1592,-0.2939666666666667,7.487851515151515,
"(11, 9)",back,6-card Straight Flush,9,0.9727272727272728,8,7.781818181818182,-0.13476666666666667,-0.13573333333333334,-0.2705,7.511318181818182,
"(11, 7)",back,6-card Straight Flush,7,0.9701754385964912,8,7.76140350877193,-0.13476666666666667,-0.18266666666666667,-0.31743333333333335,7.443970175438596,
"(14, 2)",back,7 of a Kind,2,1.0,14,14.0,-0.0188,-0.0009333333333333333,-0.019733333333333335,13.980266666666667,
"(14, 10)",back,7 of a Kind,10,1.0,14,14.0,-0.0188,-0.00046666666666666666,-0.019266666666666668,13.980733333333333,
"(14, 11)",back,7 of a Kind,11,1.0,14,14.0,-0.0188,-0.0,-0.0188,13.9812,
"(13, 8)",back,7-card Straight Flush,8,1.0,11,11.0,-0.020200000000000003,-0.056100000000000004,-0.0763,10.9237,
"(13, 9)",back,7-card Straight Flush,9,1.0,11,11.0,-0.020200000000000003,-0.048766666666666666,-0.06896666666666668,10.931033333333334,
"(13, 10)",back,7-card Straight Flush,10,1.0,11,11.0,-0.020200000000000003,-0.04106666666666667,-0.06126666666666667,10.938733333333333,
"(13, 11)",back,7-card Straight Flush,11,1.0,11,11.0,-0.020200000000000003,-0.032633333333333334,-0.052833333333333336,10.947166666666666,
"(13, 13)",back,7-card Straight Flush,13,1.0,11,11.0,-0.020200000000000003,-0.0154,-0.03560000000000001,10.9644,
"(13, 14)",back,7-card Straight Flush,14,1.0,11,11.0,-0.020200000000000003,-0.0,-0.020200000000000003,10.9798,
"(13, 12)",back,7-card Straight Flush,12,0.992,11,10.911999999999999,-0.020200000000000003,-0.023466666666666667,-0.04366666666666667,10.868333333333332,
"(16, 8)",back,8 of a Kind,8,1.0,18,18.0,-0.0,-0.0,-0.0,18.0,
"(15, 9)",back,8-card Straight Flush,9,1.0,14,14.0,-0.0006000000000000001,-0.014,-0.0146,13.9854,
"(15, 10)",back,8-card Straight Flush,10,1.0,14,14.0,-0.0006000000000000001,-0.011666666666666667,-0.012266666666666667,13.987733333333333,
"(15, 11)",back,8-card Straight Flush,11,1.0,14,14.0,-0.0006000000000000001,-0.010266666666666667,-0.010866666666666667,13.989133333333333,
"(15, 12)",back,8-card Straight Flush,12,1.0,14,14.0,-0.0006000000000000001,-0.0084,-0.009,13.991,
"(15, 13)",back,8-card Straight Flush,13,1.0,14,14.0,-0.0006000000000000001,-0.0042,-0.0048,13.9952,
"(15, 14)",back,8-card Straight Flush,14,1.0,14,14.0,-0.0006000000000000001,-0.0,-0.0006000000000000001,13.9994,
"(6, 14)",back,Flush,14,0.14414125200642056,1,0.14414125200642056,-2.3663999999999996,-0.0,-2.3663999999999996,-2.222258747993579,
"(6, 13)",back,Flush,13,0.06676535899333827,1,0.06676535899333827,-2.3663999999999996,-0.10383333333333333,-2.470233333333333,-2.4034679743399945,
"(6, 12)",back,Flush,12,0.03639291465378422,1,0.03639291465378422,-2.3663999999999996,-0.14886666666666667,-2.5152666666666663,-2.4788737520128823,
"(6, 7)",back,Flush,7,0.025,1,0.025,-2.3663999999999996,-0.1876,-2.5539999999999994,-2.5289999999999995,
"(6, 10)",back,Flush,10,0.01818181818181818,1,0.01818181818181818,-2.3663999999999996,-0.1798,-2.5462,-2.5280181818181817,
"(6, 8)",back,Flush,8,0.011764705882352941,1,0.011764705882352941,-2.3663999999999996,-0.18646666666666667,-2.552866666666666,-2.5411019607843133,
"(6, 11)",back,Flush,11,0.011074918566775244,1,0.011074918566775244,-2.3663999999999996,-0.16956666666666667,-2.5359666666666665,-2.524891748099891,
"(6, 9)",back,Flush,9,0.010526315789473684,1,0.010526315789473684,-2.3663999999999996,-0.18456666666666666,-2.550966666666666,-2.5404403508771924,
"(6, 5)",back,Flush,5,0.0,1,0.0,-2.3663999999999996,-0.18796666666666667,-2.5543666666666662,-2.5543666666666662,
"(6, 6)",back,Flush,6,0.0,1,0.0,-2.3663999999999996,-0.18786666666666665,-2.5542666666666665,-2.5542666666666665,
"(8, 14)",back,Four of a Kind,14,0.8410423452768729,4,3.3641693811074918,-0.9000999999999999,-0.0,-0.9000999999999999,2.4640693811074916,
"(8, 13)",back,Four of a Kind,13,0.7986379114642451,4,3.1945516458569805,-0.9000999999999999,-0.1228,-1.0229,2.1716516458569806,
"(8, 12)",back,Four of a Kind,12,0.7770165745856353,4,3.1080662983425413,-0.9000999999999999,-0.24026666666666666,-1.1403666666666665,1.9676996316758748,
"(8, 11)",back,Four of a Kind,11,0.7415701415701416,4,2.9662805662805662,-0.9000999999999999,-0.36093333333333333,-1.2610333333333332,1.705247232947233,
"(8, 10)",back,Four of a Kind,10,0.7108108108108108,4,2.843243243243243,-0.9000999999999999,-0.46453333333333335,-1.3646333333333334,1.4786099099099097,
"(8, 9)",back,Four of a Kind,9,0.6908527131782946,4,2.763410852713178,-0.9000999999999999,-0.5533333333333333,-1.4534333333333334,1.3099775193798449,
"(8, 8)",back,Four of a Kind,8,0.657660626029654,4,2.630642504118616,-0.9000999999999999,-0.6393333333333333,-1.5394333333333332,1.091209170785283,
"(8, 7)",back,Four of a Kind,7,0.6373665480427047,4,2.5494661921708186,-0.9000999999999999,-0.7202666666666667,-1.6203666666666665,0.9290995255041521,
"(8, 6)",back,Four of a Kind,6,0.6315217391304347,4,2.526086956521739,-0.9000999999999999,-0.7952,-1.6953,0.830786956521739,
"(8, 5)",back,Four of a Kind,5,0.592638036809816,4,2.370552147239264,-0.9000999999999999,-0.8688,-1.7689,0.601652147239264,
"(8, 4)",back,Four of a Kind,4,0.5636363636363636,4,2.2545454545454544,-0.9000999999999999,-0.934,-1.8340999999999998,0.42044545454545457,
"(8, 3)",back,Four of a Kind,3,0.5466083150984683,4,2.186433260393873,-0.9000999999999999,-0.9926666666666667,-1.8927666666666667,0.2936665937272065,
"(8, 2)",back,Four of a Kind,2,0.5386727688787185,4,2.154691075514874,-0.9000999999999999,-1.0536,-1.9537,0.20099107551487405,
"(7, 14)",back,Full House,14,0.5124673060156931,1,0.5124673060156931,-2.0119666666666665,-0.0,-2.0119666666666665,-1.4994993606509732,
"(7, 13)",back,Full House,13,0.48161764705882354,1,0.48161764705882354,-2.0119666666666665,-0.038233333333333334,-2.0502,-1.5685823529411762,
"(7, 12)",back,Full House,12,0.4334004024144869,1,0.4334004024144869,-2.0119666666666665,-0.0745,-2.0864666666666665,-1.6530662642521796,
"(7, 11)",back,Full House,11,0.4228215767634855,1,0.4228215767634855,-2.0119666666666665,-0.10763333333333333,-2.1195999999999997,-1.6967784232365142,
"(7, 10)",back,Full House,10,0.37451205510907004,1,0.37451205510907004,-2.0119666666666665,-0.13976666666666668,-2.151733333333333,-1.7772212782242631,
"(7, 9)",back,Full House,9,0.3449451887941535,1,0.3449451887941535,-2.0119666666666665,-0.1688,-2.1807666666666665,-1.835821477872513,
"(7, 8)",back,Full House,8,0.3228346456692913,1,0.3228346456692913,-2.0119666666666665,-0.19616666666666666,-2.208133333333333,-1.8852986876640419,
